INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-02-02T03:45:00-00:00,2022-02-02T04:00:00-00:00,2022-02-01,20,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,59.67199,4,1
2022-02-02T04:45:00-00:00,2022-02-02T05:00:00-00:00,2022-02-01,21,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,67.01035,4,1
2022-02-02T05:45:00-00:00,2022-02-02T06:00:00-00:00,2022-02-01,22,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,57.34427,4,1
2022-02-02T06:45:00-00:00,2022-02-02T07:00:00-00:00,2022-02-01,23,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,42.00639,4,1
2022-02-02T07:45:00-00:00,2022-02-02T08:00:00-00:00,2022-02-01,24,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,46.89445,4,1
2022-02-01T08:00:00-00:00,2022-02-01T08:15:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0,1,2
2022-02-01T09:00:00-00:00,2022-02-01T09:15:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0,1,2
2022-02-01T10:00:00-00:00,2022-02-01T10:15:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0,1,2
2022-02-01T11:00:00-00:00,2022-02-01T11:15:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0,1,2
2022-02-01T12:00:00-00:00,2022-02-01T12:15:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0.0012,1,2
2022-02-01T13:00:00-00:00,2022-02-01T13:15:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0.0024,1,2
2022-02-01T14:00:00-00:00,2022-02-01T14:15:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0.0012,1,2
2022-02-01T15:00:00-00:00,2022-02-01T15:15:00-00:00,2022-02-01,08,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,MCC,LMP_CONG_PRC,12STREET_LNODEEET1,ALL,1,0,1,2
